[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,,,,,false
Street Name Is Hidden,18,,,,,,false
Up ID,19,24,,,,,
Lanes,19,0,,,,,
Name,19,,,,,,
Distance,19,411,,,,,
Speed,19,25,,,,,
Time,19,11.2,,,,,
Grade,19,0,,,,,
Median,19,0,,,,,
Offset,19,0,,,,,
TWLTL,19,0,,,,,
Crosswalk Width,19,16,,,,,
Mandatory Distance,19,200,,,,,
Mandatory Distance2,19,1101,,,,,
Positioning Distance,19,734,,,,,
Positioning Distance2,19,1468,,,,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,,,,,
Street Name Is Hidden,19,false,,,,,
Up ID,20,21,,,,,
Lanes,20,0,,,,,
Name,20,,,,,,
Distance,20,519,,,,,
Speed,20,25,,,,,
Time,20,14.2,,,,,
Grade,20,0,,,,,
Median,20,0,,,,,
Offset,20,0,,,,,
TWLTL,20,0,,,,,
Crosswalk Width,20,16,,,,,
Mandatory Distance,20,200,,,,,
Mandatory Distance2,20,1101,,,,,
Positioning Distance,20,734,,,,,
Positioning Distance2,20,1468,,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,false,,,,,
Street Name Is Hidden,20,false,,,,,
